source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,tau_max
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7605277148395846,0.7605277148395846,State,State,True,12
compartment/air_temperature,compartment/air_temperature,2,0.0001228848746807231,-0.03596946339345886,0.03596946339345886,State,State,True,12
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,3.466045243724498e-33,-0.1120382380108752,0.1120382380108752,Action,State,True,12
compartment/screen_blackout/screen_position,compartment/air_temperature,1,2.587736563614873e-25,0.09710886268118948,0.09710886268118948,Action,State,True,12
compartment/screen_blackout/screen_position,compartment/air_temperature,2,5.506542660999665e-21,-0.08783866100489776,0.08783866100489776,Action,State,True,12
compartment/screen_energy/screen_position,compartment/air_temperature,2,0.00981750559417304,-0.02417613476297053,0.02417613476297053,Action,State,True,12
compartment/water_supply/water_flow_duration,compartment/air_temperature,1,0.08418965778664877,-0.016170150666589132,0.016170150666589132,Action,State,True,12
compartment/window_position_lee_side,compartment/air_temperature,1,2.198575877075287e-141,-0.23376603838841714,0.23376603838841714,Action,State,True,12
compartment/window_position_wind_side,compartment/air_temperature,3,1.3169952183761718e-09,0.0567473672154086,0.0567473672154086,Action,State,True,12
energy/co2_dosage,compartment/air_temperature,1,6.610859143735227e-12,0.06423650793989376,0.06423650793989376,Action,State,True,12
energy/co2_dosage,compartment/air_temperature,10,4.784953777424343e-06,-0.042816991474674534,0.042816991474674534,Action,State,True,12
energy/electricity_use.lighting,compartment/air_temperature,1,2.860148038968149e-37,0.11901358665599648,0.11901358665599648,Action,State,True,12
energy/electricity_use.lighting,compartment/air_temperature,2,1.2313089491883025e-06,-0.04539303699212956,0.04539303699212956,Action,State,True,12
energy/energy_use.heating,compartment/air_temperature,1,7.847429327939108e-29,0.10404909296035944,0.10404909296035944,Action,State,True,12
energy/energy_use.heating,compartment/air_temperature,3,0.04386196610424791,-0.018870616240560006,0.018870616240560006,Action,State,True,12
energy/energy_use.heating,compartment/air_temperature,6,0.02959346522283184,-0.020370083935522636,0.020370083935522636,Action,State,True,12
