source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,tau_max
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7632692188486827,0.7632692188486827,State,State,True,9
compartment/air_temperature,compartment/air_temperature,2,0.0001411425083444824,-0.03563582809729679,0.03563582809729679,State,State,True,9
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,2.1153867933327966e-31,-0.1087980590454588,0.1087980590454588,Action,State,True,9
compartment/screen_blackout/screen_position,compartment/air_temperature,1,5.308978029484616e-22,0.09006572002825138,0.09006572002825138,Action,State,True,9
compartment/screen_blackout/screen_position,compartment/air_temperature,2,2.1191862336256996e-22,-0.09094229725483444,0.09094229725483444,Action,State,True,9
compartment/screen_energy/screen_position,compartment/air_temperature,2,0.00039560107669673743,-0.03315595009515648,0.03315595009515648,Action,State,True,9
compartment/window_position_lee_side,compartment/air_temperature,1,6.23848544842512e-156,-0.24521368415636235,0.24521368415636235,Action,State,True,9
compartment/window_position_wind_side,compartment/air_temperature,3,1.1526194820233806e-09,0.05692972773733786,0.05692972773733786,Action,State,True,9
energy/co2_dosage,compartment/air_temperature,1,4.0325312456707884e-11,0.061751453398802336,0.061751453398802336,Action,State,True,9
energy/electricity_use.lighting,compartment/air_temperature,1,9.661170171713222e-44,0.12928014542165903,0.12928014542165903,Action,State,True,9
energy/electricity_use.lighting,compartment/air_temperature,2,5.5858459043660234e-08,-0.050810663820328644,0.050810663820328644,Action,State,True,9
energy/energy_use.heating,compartment/air_temperature,1,3.1405431432463562e-24,0.09484603260192977,0.09484603260192977,Action,State,True,9
energy/energy_use.heating,compartment/air_temperature,3,0.026124073462363347,-0.020819393526636067,0.020819393526636067,Action,State,True,9
energy/energy_use.heating,compartment/air_temperature,6,0.04931902866107014,-0.018400784416521314,0.018400784416521314,Action,State,True,9
compartment/co2_concentration,compartment/co2_concentration,1,0.0,0.723820530782803,0.723820530782803,State,State,True,9
compartment/co2_concentration,compartment/co2_concentration,5,2.9559326362949157e-09,-0.05553314868244874,0.05553314868244874,State,State,True,9
compartment/co2_concentration,compartment/co2_concentration,6,0.09154965906670685,0.015802178470401766,0.015802178470401766,State,State,True,9
compartment/window_position_lee_side,compartment/co2_concentration,1,5.6545276262579e-32,-0.10982125062002049,0.10982125062002049,Action,State,True,9
compartment/window_position_lee_side,compartment/co2_concentration,4,0.0005600704171835234,0.03228558995662871,0.03228558995662871,Action,State,True,9
compartment/window_position_lee_side,compartment/co2_concentration,5,0.05357603309987241,0.018066265938007402,0.018066265938007402,Action,State,True,9
compartment/window_position_wind_side,compartment/co2_concentration,1,5.5252257001055906e-05,0.03772942848115779,0.03772942848115779,Action,State,True,9
energy/co2_dosage,compartment/co2_concentration,1,0.0,0.5714115228069692,0.5714115228069692,Action,State,True,9
energy/co2_dosage,compartment/co2_concentration,2,5.449164020375997e-122,-0.21722215669904224,0.21722215669904224,Action,State,True,9
energy/co2_dosage,compartment/co2_concentration,3,2.6392016610677725e-31,-0.10861836794160673,0.10861836794160673,Action,State,True,9
energy/co2_dosage,compartment/co2_concentration,4,2.7566084620509482e-33,-0.11217480139542674,0.11217480139542674,Action,State,True,9
energy/co2_dosage,compartment/co2_concentration,5,4.624218125635732e-12,-0.06468281693024869,0.06468281693024869,Action,State,True,9
energy/electricity_use.lighting,compartment/co2_concentration,1,0.00030780587710184165,-0.03376690911039301,0.03376690911039301,Action,State,True,9
energy/electricity_use.lighting,compartment/co2_concentration,2,4.267135915392017e-05,0.03829322103434547,0.03829322103434547,Action,State,True,9
energy/energy_use.heating,compartment/co2_concentration,3,0.0033569599646781304,0.027449909218200754,0.027449909218200754,Action,State,True,9
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,1,0.0,0.7199061032568028,0.7199061032568028,Action,Action,True,9
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,2,1.696833800705381e-54,-0.14466593619646229,0.14466593619646229,Action,Action,True,9
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,7,2.1653205693656292e-10,0.05934373439598607,0.05934373439598607,Action,Action,True,9
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,8,0.019215724690545506,0.021901353232447955,0.021901353232447955,Action,Action,True,9
compartment/humidity_deficit,compartment/humidity_deficit,1,0.0,0.6766793350947718,0.6766793350947718,State,State,True,9
compartment/humidity_deficit,compartment/humidity_deficit,7,5.6230751480833535e-21,0.08779897556812556,0.08779897556812556,State,State,True,9
compartment/humidity_deficit,compartment/humidity_deficit,8,9.778717789190949e-12,-0.06368482795256163,0.06368482795256163,State,State,True,9
compartment/screen_blackout/screen_position,compartment/humidity_deficit,1,0.019713903085737047,-0.02181757859668844,0.02181757859668844,Action,State,True,9
compartment/screen_energy/screen_position,compartment/humidity_deficit,1,3.818576886715527e-12,-0.06491282526924104,0.06491282526924104,Action,State,True,9
energy/co2_dosage,compartment/humidity_deficit,1,0.027918671869464288,0.02057399677582728,0.02057399677582728,Action,State,True,9
energy/electricity_use.lighting,compartment/humidity_deficit,1,9.887242268032738e-15,0.07234143860780196,0.07234143860780196,Action,State,True,9
energy/electricity_use.lighting,compartment/humidity_deficit,9,5.6831188624509924e-05,-0.037659243038022795,0.037659243038022795,Action,State,True,9
energy/energy_use.heating,compartment/humidity_deficit,1,1.2655359183997076e-23,0.09354500507052584,0.09354500507052584,Action,State,True,9
energy/energy_use.heating,compartment/humidity_deficit,7,1.2587779877981886e-08,-0.05322779351117274,0.05322779351117274,Action,State,True,9
compartment/air_temperature,compartment/leaf_temperature,1,2.6142264460210833e-23,0.09292457027868228,0.09292457027868228,State,Physiology,True,9
compartment/air_temperature,compartment/leaf_temperature,3,0.03411470644461944,-0.019835961476950645,0.019835961476950645,State,Physiology,True,9
compartment/co2_concentration,compartment/leaf_temperature,9,0.05640317061097166,-0.017861891012459167,0.017861891012459167,State,Physiology,True,9
compartment/humidity_deficit,compartment/leaf_temperature,4,1.1823976146395394e-05,-0.04098852657814443,0.04098852657814443,State,Physiology,True,9
compartment/humidity_deficit,compartment/leaf_temperature,5,0.00012601024652378196,0.03587867784762942,0.03587867784762942,State,Physiology,True,9
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6212054316943105,0.6212054316943105,Physiology,Physiology,True,9
compartment/leaf_temperature,compartment/leaf_temperature,4,2.863931915507686e-11,0.062209463342336735,0.062209463342336735,Physiology,Physiology,True,9
compartment/par,compartment/leaf_temperature,1,6.4454356413616385e-12,0.06422531211172709,0.06422531211172709,State,Physiology,True,9
compartment/par,compartment/par,1,0.0,0.5392198658322457,0.5392198658322457,State,State,True,9
compartment/par,compartment/par,2,2.787680907313872e-11,0.062238338067905546,0.062238338067905546,State,State,True,9
compartment/par,compartment/par,3,2.7482400494913677e-11,0.062257883162676275,0.062257883162676275,State,State,True,9
compartment/par,compartment/par,5,1.2314501290270347e-07,0.04946554750652475,0.04946554750652475,State,State,True,9
energy/co2_dosage,compartment/par,1,0.000350342642033204,0.033444183007412816,0.033444183007412816,Action,State,True,9
energy/electricity_use.lighting,compartment/par,1,1.616254150304672e-42,0.1273430884612154,0.1273430884612154,Action,State,True,9
energy/electricity_use.lighting,compartment/par,2,3.6039646852279038e-06,-0.04332894892443154,0.04332894892443154,Action,State,True,9
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,1,0.0,0.7918474254570942,0.7918474254570942,Action,Action,True,9
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,2,3.371961067245516e-162,-0.24982063998067638,0.24982063998067638,Action,Action,True,9
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,3,9.730855110347604e-07,0.0457834075666142,0.0457834075666142,Action,Action,True,9
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,1,0.0,0.7835647784984954,0.7835647784984954,Action,Action,True,9
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,2,1.5452140873313903e-162,-0.2500763793617159,0.2500763793617159,Action,Action,True,9
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,3,6.11960894407926e-12,0.0642606310849205,0.0642606310849205,Action,Action,True,9
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,1,0.0,0.853215683430105,0.853215683430105,Action,Action,True,9
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,2,0.0,-0.4567042442813465,0.4567042442813465,Action,Action,True,9
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,3,3.1490045773968355e-152,0.24218072544739017,0.24218072544739017,Action,Action,True,9
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,4,3.104698169818907e-35,-0.11548478372768858,0.11548478372768858,Action,Action,True,9
