time,weather/air_temperature.outside,weather/relative_humidity.outside,weather/humidity_deficit,weather/air_absolute_humidity_content.outside,weather/radiation_global,weather/radiation_sum,weather/wind_speed,weather/wind_direction.registration,weather/rain_state,weather/par.outside,weather/heat_emission
2024-09-03 00:05:00+02:00,19.5,97.1,0.49162644,16.461,0.0,0.0,0.0,4.0,0.0,1.0,-39.0
2024-09-03 00:10:00+02:00,19.5,97.2,0.47467002,16.477812,0.0,0.0,0.0,4.0,0.0,2.0,-34.0
2024-09-03 00:15:00+02:00,19.6,96.8,0.54574245,16.508726,0.0,0.0,0.0,4.0,0.0,1.0,-33.0
2024-09-03 00:20:00+02:00,19.7,96.7,0.566167,16.590391,0.0,0.0,0.0,4.0,0.0,1.0,-22.0
2024-09-03 00:25:00+02:00,19.7,96.6,0.5833283,16.57338,1.0,0.0,0.0,4.0,0.0,1.0,-16.0
2024-09-03 00:30:00+02:00,19.6,96.0,0.6822256,16.373415,0.0,0.0,0.0,4.0,0.0,1.0,-16.0
2024-09-03 00:35:00+02:00,19.7,96.0,0.68630385,16.471292,0.0,0.0,0.0,4.0,0.0,1.0,-19.0
2024-09-03 00:40:00+02:00,19.7,95.8,0.720631,16.437262,0.0,0.0,0.0,4.0,0.0,1.0,-24.0
2024-09-03 00:45:00+02:00,19.7,96.1,0.66914076,16.488308,0.0,0.0,0.0,4.0,0.0,1.0,-29.0
2024-09-03 00:50:00+02:00,19.7,95.9,0.7034673,16.454277,0.0,0.0,0.0,4.0,0.0,1.0,-36.0
2024-09-03 00:55:00+02:00,19.8,96.0,0.6904036,16.569685,0.0,0.0,0.0,4.0,0.0,2.0,-39.0
2024-09-03 01:00:00+02:00,19.8,95.7,0.7422037,16.518335,0.0,0.0,0.0,4.0,0.0,1.0,-29.0
2024-09-03 01:05:00+02:00,19.8,95.6,0.7594706,16.501219,0.0,0.0,0.0,4.0,0.0,1.0,-30.0
2024-09-03 01:10:00+02:00,19.9,95.5,0.7813747,16.582508,0.0,0.0,0.0,4.0,0.0,1.0,-25.0
2024-09-03 01:15:00+02:00,19.7,95.3,0.8064553,16.352179,0.0,0.0,0.0,4.0,0.0,1.0,-18.0
2024-09-03 01:20:00+02:00,19.5,96.0,0.6781687,16.27605,0.0,0.0,0.0,4.0,0.0,1.0,-20.0
2024-09-03 01:25:00+02:00,19.3,96.8,0.5360584,16.215782,0.0,0.0,0.0,4.0,0.0,1.0,-14.0
2024-09-03 01:30:00+02:00,19.2,97.5,0.41627625,16.234774,0.0,0.0,0.0,4.0,0.0,1.0,-21.0
2024-09-03 01:35:00+02:00,19.2,97.8,0.3663134,16.284319,0.0,0.0,0.0,4.0,0.0,1.0,-24.0
2024-09-03 01:40:00+02:00,19.4,97.6,0.4044253,16.446617,0.0,0.0,0.0,4.0,0.0,1.0,-19.0
2024-09-03 01:45:00+02:00,19.5,97.8,0.372935,16.57868,0.0,0.0,0.0,4.0,0.0,1.0,-16.0
2024-09-03 01:50:00+02:00,19.6,97.5,0.42633608,16.627108,0.0,0.0,0.0,4.0,0.0,1.0,-15.0
2024-09-03 01:55:00+02:00,19.7,97.3,0.46320257,16.692467,0.0,0.0,0.0,4.0,0.0,1.0,-24.0
2024-09-03 02:00:00+02:00,19.6,97.2,0.47750923,16.576374,0.0,0.0,0.0,4.0,0.0,1.0,-29.0
2024-09-03 02:05:00+02:00,19.6,97.2,0.47750923,16.576374,0.0,0.0,0.0,4.0,0.0,1.0,-34.0
2024-09-03 02:10:00+02:00,19.7,96.9,0.5318439,16.624418,0.0,0.0,0.0,4.0,0.0,1.0,-39.0
2024-09-03 02:15:00+02:00,19.7,96.5,0.6004899,16.556366,0.0,0.0,0.0,4.0,0.0,1.0,-48.0
2024-09-03 02:20:00+02:00,19.7,96.3,0.6348141,16.522337,0.0,0.0,0.0,4.0,0.0,1.0,-52.0
2024-09-03 02:25:00+02:00,19.8,96.2,0.6558725,16.603916,0.0,0.0,0.0,4.0,0.0,1.0,-50.0
2024-09-03 02:30:00+02:00,19.7,96.3,0.6348141,16.522337,0.0,0.0,0.0,4.0,0.0,1.0,-45.0
2024-09-03 02:35:00+02:00,19.5,96.6,0.57641417,16.376936,0.0,0.0,0.0,4.0,0.0,1.0,-43.0
2024-09-03 02:40:00+02:00,19.3,97.0,0.5025468,16.249012,0.0,0.0,0.0,4.0,0.0,1.0,-41.0
2024-09-03 02:45:00+02:00,19.3,97.3,0.45228013,16.298855,0.0,0.0,0.0,4.0,0.0,1.0,-40.0
2024-09-03 02:50:00+02:00,19.3,97.6,0.40201735,16.348696,0.0,0.0,0.0,4.0,0.0,2.0,-42.0
2024-09-03 02:55:00+02:00,19.2,98.2,0.29970184,16.350372,0.0,0.0,0.0,4.0,0.0,1.0,-43.0
2024-09-03 03:00:00+02:00,19.2,98.2,0.29970184,16.350372,0.0,0.0,0.0,4.0,0.0,1.0,-44.0
2024-09-03 03:05:00+02:00,19.3,98.4,0.26799306,16.48159,0.0,0.0,0.0,4.0,0.0,1.0,-43.0
2024-09-03 03:10:00+02:00,19.2,98.5,0.24974483,16.399912,1.0,0.0,0.0,4.0,0.0,1.0,-41.0
2024-09-03 03:15:00+02:00,19.0,99.3,0.11515344,16.33541,0.0,0.0,0.0,4.0,0.0,2.0,-45.0
2024-09-03 03:20:00+02:00,19.2,98.0,0.33300707,16.317347,0.0,0.0,0.0,4.0,0.0,1.0,-45.0
2024-09-03 03:25:00+02:00,19.2,98.2,0.29970184,16.350372,0.0,0.0,0.0,4.0,0.0,2.0,-43.0
2024-09-03 03:30:00+02:00,19.0,98.1,0.31259194,16.139603,0.0,0.0,0.0,4.0,0.0,1.0,-45.0
2024-09-03 03:35:00+02:00,19.0,97.8,0.36195678,16.090647,0.0,0.0,0.0,4.0,0.0,2.0,-44.0
2024-09-03 03:40:00+02:00,19.1,98.5,0.24825588,16.302135,0.0,0.0,0.0,4.0,0.0,1.0,-37.0
2024-09-03 03:45:00+02:00,19.0,98.4,0.26322833,16.188559,0.0,0.0,0.0,4.0,0.0,1.0,-41.0
2024-09-03 03:50:00+02:00,19.0,98.1,0.31259194,16.139603,0.0,0.0,0.0,4.0,0.0,1.0,-39.0
2024-09-03 03:55:00+02:00,19.1,98.1,0.31446818,16.236475,0.0,0.0,0.0,4.0,0.0,1.0,-39.0
2024-09-03 04:00:00+02:00,19.0,98.2,0.29613757,16.155922,0.0,0.0,0.0,4.0,0.0,1.0,-32.0
